Label,2008,2009,2010,2011,2012,2013,2014,2015,2016
"USA, males*",67.8,65.9,62.6,60.9,59.6,58.3,60.0,57.9,58.7
"USA, females*",49.5,48.8,47.2,45.8,44.8,43.4,45.1,44.6,46.0
