Label,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Sweden,3992,4235,4024,4120,4025,4037,4096,4242,4345,4578,4683,4838,5284,5152,4920,4837,5354,5265,5349,5416,5726,5860,5914,6020,6132,6358,6377,6318,6341,6317,6422,6450,6869,7133,7043,7257
Switzerland*,,,,,,,,,,,,,,,,-,-,-,-,-,1631,1659,1741,1747,1717,1759,1783,1767,1880,1822,1874,1949,2006,2072,2002,-
Brazil*,,,,,,,,,,,,,,,,156,164,173,167,214,217,216,279,254,294,325,347,332,336,370,365,394,369,351,397,-
Thailand*,,,,,,,,,,,,,,,,293,320,354,402,388,502,473,572,602,609,695,729,783,802,840,925,915,994,1053,1075,-
Turkey*,,,,,,,,,,,,,,,,-,-,-,-,-,725,707,851,893,1025,1052,1139,1188,1280,1315,1568,1525,1517,1669,1694,-
Uganda*,-,-,-,-,-,-,-,-,-,-,-,-,-,40,39,40,39,35,46,60,56,62,75,72,53,81,105,85,104,108,114,108,148,123,165,163
Ukraine,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,16010,16292,16707,16369,16497,16759,16551,17574,17633,17914,16624
"UK, England and Wales *",20228,20166,21188,21333,21742,21867,21843,24053,23880,24849,25160,26727,27518,29227,29622,28835,29505,30215,30817,32569,33033,34162,33900,34416,34259,36136,36178,37072,36927,36877,38198,38520,39500,39633,40475,42084
"UK, Scotland",2285,2174,2365,2349,2456,2456,2478,2412,2491,2586,2580,2697,2862,3056,3136,3089,3066,3234,3239,3298,3457,3483,3498,3405,3514,3645,3761,3848,3922,3923,4041,4164,4187,4315,4357,4385
"UK, Northern Ireland ",,,,,,,,,,,,,,,,769,833,880,849,855,909,937,946,920,951,1029,1132,1060,970,1141,1145,1196,1167,1245,1272,1209
USA*,12562,12901,13181,13744,14056,14936,15567,16706,17333,18729,18735,18241,18940,19412,19911,19690,20214,20723,21135,22277,22965,23417,23101,23597,23555,22170,22681,22948,22955,23541,24011,24757,24469,25586,25782,26239
USA: White*,11312,11530,11756,12262,12506,13165,13732,14588,15110,16463,16300,15833,16259,16688,16816,16630,17064,17417,17601,18484,18996,19343,19062,19386,19149,17863,18041,18344,18144,18477,18686,19335,18935,19667,19644,19874
USA: Black*,884,905,988,1035,1049,1195,1218,1363,1376,1382,1532,1438,1587,1617,1764,1742,1842,1888,1921,2002,2072,2110,2129,2081,2217,2230,2337,2269,2413,2484,2545,2617,2589,2802,2895,2878
