Label,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Poland, males*",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2108,2501,2585,2470,2680,2462,2465,2491,2317,2337,2428,2553,2592,2513,2630,-
"Slovakia, males",6444,6747,6854,7290,7551,7684,7971,8079,8221,8455,8853,8630,8516,8896,9007,9075,9113,9067,9421,9576,9661,9441,9746,9655,10105,10285,10793,10949,11238,11326,12074,12521,13027,-,-,-
"Slovenia, males",2316,2324,2359,2610,2553,2577,2677,2641,2762,2723,2854,3046,3032,3129,3350,3417,3476,3594,3501,3914,3962,4089,4109,4324,4430,4496,4884,4801,5077,5285,5545,5709,5870,6102,5951,-
"Spain, males*",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15478,16107,16505,17339,18198,18544,19604,20140,20861,21352,22231,23652,23501,23834,24686,25338,25748,26170,-,-,-
"Sweden, males",15951,16301,16815,16843,17400,17789,18308,18370,18390,18941,18945,19027,18621,19279,19398,19819,20069,19427,19629,19931,20450,21583,21562,22018,22531,23760,25039,25021,24738,24361,24731,27056,26786,27303,26530,28116
"Switzerland, males*",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5631,5614,5748,6025,6142,6236,6583,6581,6603,6916,7036,7096,7292,7332,7366,-
"Brazil, males*",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,490,528,623,734,838,829,839,882,965,1037,1041,1296,1453,1566,1505,1619,1525,1653,1549,1498,-
"Thailand, males*",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3207,3253,3155,3341,3403,3389,3357,3501,3861,4009,3865,4022,4103,4198,4366,4304,4497,4916,5215,5366,-
"Turkey, males*",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3550,3887,4782,5021,5437,5826,6307,6741,7266,7783,7981,8170,8357,8520,8595,-
"Uganda, males*",-,-,-,-,-,-,-,-,-,-,-,-,-,287,355,411,345,400,389,416,422,378,454,405,446,479,587,560,638,677,664,756,696,670,744,763
"Ukraine, males",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71851,72634,72611,71410,70960,71034,70561,72327,73151,74351,69979
"UK, England and Wales , males*",80691,83088,85412,87263,87862,89560,89229,94375,92395,94280,97137,95848,97490,98901,102178,102900,105008,104266,104570,107371,107713,109908,113102,115433,114654,115079,120193,120893,125426,126673,130207,137250,138577,141227,145904,150766
"UK, Scotland, males",9779,10025,10033,10224,10255,10548,10714,10834,10738,10946,10964,11078,11473,11470,11935,12267,12523,12418,13324,12672,12727,12700,12858,13085,13536,13640,13962,13719,14144,14361,14885,15255,15050,15636,15535,15787
"UK, Northern Ireland , males",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3287,3207,3136,3180,3086,3176,3072,3180,3365,3389,3533,3637,3717,3887,4135,4274,4299,4219,4561,4598,4620
"USA, males*",47687,48898,50323,52145,53273,54812,56199,58166,59378,63150,63837,65642,69753,76192,80840,77888,74953,74065,74678,76337,77173,79296,80567,82046,82310,81661,83392,83533,85643,89761,88934,90255,90305,90104,87142,87792
"USA: White, males*",41736,42652,43658,45117,45988,47155,48235,49984,50878,54079,54488,55990,59268,64709,67814,64417,61801,60852,61445,62501,63153,64699,65567,66791,66794,65928,67152,67280,68770,71655,70638,71601,71356,71073,68434,68534
"USA: Black, males*",4228,4421,4712,5001,5115,5360,5528,5497,5656,5941,6112,6147,6667,7344,7954,8215,7906,7973,7885,8125,8136,8416,8530,8541,8711,8726,8912,8820,8988,9565,9713,9874,9796,9758,9670,9720
"Bulgaria, females",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9865,9962,10303,10962,10812,12284,12476,12353,12607,12928,13384,13732,13913,14377,14471,14834,14527,14250,14282,14716,14876
"Belarus, females",7820,8060,8327,8430,8743,8954,9356,9540,10018,10479,10502,10870,11422,11714,12107,12323,12688,12657,13326,13539,14168,13800,13814,14309,14417,14833,15336,15428,15498,16097,16608,16860,17643,17560,17629,-
"Canada, females*",-,-,-,-,-,29855,30954,32521,32172,33930,35885,35901,37078,38583,39537,40240,40922,41803,42849,44241,46571,47733,48307,49070,50963,50615,52375,54257,55517,57557,58400,60700,61828,63802,64862,-
"Chile, females*",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,365,385,400,370,383,420,440,385,445,415,439,411,396,487,429,-
"China, females*",-,-,-,-,-,-,-,-,-,-,14020,14313,15180,14940,15280,14953,15098,15379,16330,16910,17092,17454,18520,18857,19062,19202,20718,20965,21534,21488,22813,23750,24337,25201,26161,-
"Colombia, females*",-,-,-,-,-,874,913,842,972,1197,1119,1135,1244,1292,1416,1245,1449,1469,1460,1628,1709,1877,1946,2051,2025,2088,2097,2230,2436,2544,2441,2440,2446,2586,2537,-
"Costa Rica, females",-,-,-,-,1282,1293,1298,1364,1324,1478,1395,1504,1523,1688,1609,1769,1846,2124,2262,2230,2543,2585,2791,2765,2766,3146,3172,3279,3233,3293,3727,3802,4019,4013,-,-
