,Year,Cancer
0,2006,24578.002424242906
1,2007,25256.79393939441
2,2008,25935.585454545915
3,2009,26614.376969697187
4,2010,27293.16848484869
5,2011,27971.960000000196
6,2012,28650.7515151517
7,2013,29329.543030303204
8,2014,30008.33454545471
9,2015,30687.126060606213
10,2016,31365.917575757718
11,2017,32044.709090909222
12,2018,32723.500606060727
13,2019,33402.29212121223
